STATE,REPORTDATE,cases,deaths,MMWRyear,MMWRweek,MMWRday
Arkansas,3/9/20,,,2020,11,2
Arizona,3/9/20,0,0,2020,11,2
California,3/9/20,18,0,2020,11,2
Colorado,3/9/20,5,0,2020,11,2
Connecticut,3/9/20,0,0,2020,11,2
District of Columbia,3/9/20,3,0,2020,11,2
Delaware,3/9/20,0,0,2020,11,2
Florida,3/9/20,5,0,2020,11,2
Georgia,3/9/20,6,0,2020,11,2
Hawaii,3/9/20,1,0,2020,11,2
Iowa,3/9/20,5,0,2020,11,2
Idaho,3/9/20,0,0,2020,11,2
Illinois,3/9/20,4,0,2020,11,2
Indiana,3/9/20,1,0,2020,11,2
Kansas,3/9/20,0,0,2020,11,2
Kentucky,3/9/20,2,0,2020,11,2
Louisiana,3/9/20,1,0,2020,11,2
Massachusetts,3/9/20,9,0,2020,11,2
Maryland,3/9/20,1,0,2020,11,2
Maine,3/9/20,0,0,2020,11,2
Michigan,3/9/20,0,0,2020,11,2
Minnesota,3/9/20,0,0,2020,11,2
Missouri,3/9/20,0,0,2020,11,2
Mississippi,3/9/20,0,0,2020,11,2
Montana,3/9/20,0,0,2020,11,2
North Carolina,3/9/20,5,0,2020,11,2
North Dakota,3/9/20,0,0,2020,11,2
Nebraska,3/9/20,0,0,2020,11,2
New Hampshire,3/9/20,2,0,2020,11,2
New Jersey,3/9/20,5,0,2020,11,2
New Mexico,3/9/20,0,0,2020,11,2
Nevada,3/9/20,0,0,2020,11,2
New York,3/9/20,63,0,2020,11,2
Ohio,3/9/20,1,0,2020,11,2
Oklahoma,3/9/20,0,0,2020,11,2
Oregon,3/9/20,5,0,2020,11,2
Pennsylvania,3/9/20,4,0,2020,11,2
Rhode Island,3/9/20,2,0,2020,11,2
South Carolina,3/9/20,1,0,2020,11,2
South Dakota,3/9/20,0,0,2020,11,2
Tennessee,3/9/20,1,0,2020,11,2
Texas,3/9/20,7,0,2020,11,2
Utah,3/9/20,0,0,2020,11,2
Virginia,3/9/20,3,0,2020,11,2
Vermont,3/9/20,0,0,2020,11,2
Washington,3/9/20,153,10,2020,11,2
Wisconsin,3/9/20,1,0,2020,11,2
West Virginia,3/9/20,0,0,2020,11,2
Wyoming,3/9/20,0,0,2020,11,2
Guam,3/9/20,,,2020,11,2
Puerto Rico,3/9/20,,,2020,11,2
Virgin Islands,3/9/20,,,2020,11,2
Alaska,3/10/20,0,0,2020,11,3
Alabama,3/10/20,0,0,2020,11,3
Arkansas,3/10/20,,,2020,11,3
Arizona,3/10/20,0,0,2020,11,3
California,3/10/20,25,1,2020,11,3
Colorado,3/10/20,6,0,2020,11,3
Connecticut,3/10/20,0,0,2020,11,3
District of Columbia,3/10/20,0,0,2020,11,3
Delaware,3/10/20,0,0,2020,11,3
Florida,3/10/20,3,0,2020,11,3
Georgia,3/10/20,5,0,2020,11,3
Hawaii,3/10/20,0,0,2020,11,3
Iowa,3/10/20,5,0,2020,11,3
Idaho,3/10/20,0,0,2020,11,3
Illinois,3/10/20,9,0,2020,11,3
Indiana,3/10/20,5,0,2020,11,3
Kansas,3/10/20,0,0,2020,11,3
Kentucky,3/10/20,2,0,2020,11,3
Louisiana,3/10/20,2,0,2020,11,3
Massachusetts,3/10/20,20,0,2020,11,3
Maryland,3/10/20,3,0,2020,11,3
Maine,3/10/20,0,0,2020,11,3
Michigan,3/10/20,2,0,2020,11,3
Minnesota,3/10/20,1,0,2020,11,3
Missouri,3/10/20,0,0,2020,11,3
Mississippi,3/10/20,0,0,2020,11,3
Montana,3/10/20,0,0,2020,11,3
North Carolina,3/10/20,0,0,2020,11,3
North Dakota,3/10/20,0,0,2020,11,3
Nebraska,3/10/20,2,0,2020,11,3
New Hampshire,3/10/20,1,0,2020,11,3
New Jersey,3/10/20,4,1,2020,11,3
New Mexico,3/10/20,0,0,2020,11,3
Nevada,3/10/20,4,0,2020,11,3
New York,3/10/20,44,0,2020,11,3
Ohio,3/10/20,0,0,2020,11,3
Oklahoma,3/10/20,0,0,2020,11,3
Oregon,3/10/20,3,0,2020,11,3
Pennsylvania,3/10/20,5,0,2020,11,3
Rhode Island,3/10/20,0,0,2020,11,3
South Carolina,3/10/20,2,0,2020,11,3
South Dakota,3/10/20,1,0,2020,11,3
Tennessee,3/10/20,2,0,2020,11,3
Texas,3/10/20,3,0,2020,11,3
Utah,3/10/20,1,0,2020,11,3
Virginia,3/10/20,3,0,2020,11,3
Vermont,3/10/20,0,0,2020,11,3
Washington,3/10/20,172,14,2020,11,3
Wisconsin,3/10/20,1,0,2020,11,3
West Virginia,3/10/20,0,0,2020,11,3
Wyoming,3/10/20,0,0,2020,11,3
Guam,3/10/20,,,2020,11,3
Puerto Rico,3/10/20,,,2020,11,3
Virgin Islands,3/10/20,,,2020,11,3
Alaska,3/11/20,0,0,2020,11,4
Alabama,3/11/20,0,0,2020,11,4
Arkansas,3/11/20,0,0,2020,11,4
Arizona,3/11/20,0,0,2020,11,4
California,3/11/20,20,0,2020,11,4
Colorado,3/11/20,19,0,2020,11,4
Connecticut,3/11/20,0,0,2020,11,4
District of Columbia,3/11/20,7,0,2020,11,4
Delaware,3/11/20,1,0,2020,11,4
Florida,3/11/20,10,0,2020,11,4
Georgia,3/11/20,9,0,2020,11,4
Hawaii,3/11/20,0,0,2020,11,4
Iowa,3/11/20,1,0,2020,11,4
Idaho,3/11/20,0,0,2020,11,4
Illinois,3/11/20,6,0,2020,11,4
Indiana,3/11/20,0,0,2020,11,4
Kansas,3/11/20,0,0,2020,11,4
Kentucky,3/11/20,0,0,2020,11,4
